model_id,precision,runtime,Torch Accuracy,Sim Accuracy,Device Accuracy,PSNR_0,PSNR_1,PSNR_2,PSNR_3,PSNR_4,PSNR_5,PSNR_6,PSNR_7,PSNR_8,PSNR_9,date,branch,chipset,dataset_name,dataset_link,split_description,metric_name,metric_unit,metric_description,metric_min,metric_max,metric_threshold,num_samples
bert_base_uncased_hf,w8a16,onnx,0.0,0.0,0.0,6.888,,,,,,,,,,2026-04-19,main,qualcomm-snapdragon-8-elite-for-galaxy,bert_wikitext_masked,https://huggingface.co/datasets/wikitext,wikitext-2-raw-v1 validation split,Top-1 Accuracy,%,Percentage of masked tokens correctly predicted (highest-probability token).,0.0,100.0,10.0,250.0
bevdet,w8a16_mixed_fp16,qnn_dlc,29.1,27.9,,,,,,,,,,,,2026-04-19,main,qualcomm-snapdragon-8-elite-for-galaxy,nuscenes,,,,,,,,,
bevdet,w8a16_mixed_fp16,qnn_dlc_via_qnn_ep,29.1,27.9,,,,,,,,,,,,2026-04-19,main,qualcomm-snapdragon-8-elite-for-galaxy,nuscenes,,,,,,,,,
bevdet,w8a16_mixed_fp16,onnx,29.1,27.9,,,,,,,,,,,,2026-04-19,main,qualcomm-snapdragon-8-elite-for-galaxy,nuscenes,,,,,,,,,
bevdet,float,tflite,29.1,,29.4,63.39,64.66,60.8,62.49,64.19,52.74,,,,,2026-04-19,main,qualcomm-snapdragon-8-elite-for-galaxy,nuscenes,,,,,,50.0,,,
bevdet,float,qnn_dlc,29.1,,,,,,,,,,,,,2026-04-19,main,qualcomm-snapdragon-8-elite-for-galaxy,nuscenes,,,,,,,,,
bevdet,float,qnn_dlc_via_qnn_ep,29.1,,,,,,,,,,,,,2026-04-19,main,qualcomm-snapdragon-8-elite-for-galaxy,nuscenes,,,,,,,,,
bevdet,float,onnx,29.1,,,,,,,,,,,,,2026-04-19,main,qualcomm-snapdragon-8-elite-for-galaxy,nuscenes,,,,,,,,,
cavaface,float,tflite,,,,40.68,,,,,,,,,,2026-04-19,main,qualcomm-snapdragon-8-elite-for-galaxy,,,,,,,,,,
cavaface,float,qnn_dlc,,,,40.76,,,,,,,,,,2026-04-19,main,qualcomm-snapdragon-8-elite-for-galaxy,,,,,,,,,,
cavaface,float,qnn_dlc_via_qnn_ep,,,,40.65,,,,,,,,,,2026-04-19,main,qualcomm-snapdragon-8-elite-for-galaxy,,,,,,,,,,
cavaface,float,onnx,,,,40.65,,,,,,,,,,2026-04-19,main,qualcomm-snapdragon-8-elite-for-galaxy,,,,,,,,,,
centerpoint,float,tflite,,,,138.3,98.43,,,,,,,,,2026-04-19,main,qualcomm-snapdragon-8-elite-for-galaxy,,,,,,,,,,
